Pattern;Category;Points
Randomized Order;I;20
Mathematical Validator;P;1
Impro League;I;0
Questions Donor;P;3
Continuous Testing;K;7
To-Do List;C;4
Professional Multiplier;P;11
Timebox;I;11
Academic Integrity Appeal;C;5
Results With Delay;I;4
Proactive Teacher;C;3
Colleague Veto;P;12
Safe Exam Browser;O;0
Criteria List;I;9
Appetizer;C;2
Certification Centre;O;0
Big Brother;O;0
Game Rules;C;14
Emergency Call alias 911;C;5
Bonus Points;I;6
Self-Assessment;I;0
Member Channel;C;1
Time Reminder;C;3
Personal Defence;I;25
Example Questions;P;0
Colleague Bloom;K;0
Stepwise Apprach;K;10
24/7 alias Permanent Availability;O;0
Expert Validator;P;9
Hidden Validator;P;0
Eurosong;I;0
Objective Assessor;I;2
Theme Variants;P;7
Identity Guarantee;I;1
Expert-Level;K;5
Full-Time Job;O;0
Open Book;K;5
Student Proxy;C;3
Firewall;C;0
Accessibility Adjustments;I;2
Number Draw;I;0
Dress Rehearsal;P;9
Student Achievement Portfolio;K;5
Statistical validator;P;4
Petathlon;K;32
Third Shift;I;2
Innovator;K;11
